Time;EnemyLength;NoteID;Time;
00:00:379,746823333333;1;A;06:19,7;0,379,746823333333
00:01:518,98732533333;1;W;09:39,0;1,518,98732533333
00:02:088,60757633333;1;D;00:02:088,60757633333;2,088,60757633333
00:03:417,72149533333;1;D;09:57,7;3,417,72149533333
00:04:556,96199733333;1;W;13:17,0;4,556,96199733333
00:05:126,58224833333;1;A;07:06,6;5,126,58224833333
00:06:455,69616733333;1;A;13:35,7;6,455,69616733333
00:08:164,55692033333;1;S;10:44,6;8,164,55692033333
00:08:544,30375433333;1;D;17:04,3;8,544,30375433333
00:09:873,41767333333;1;W;23:33,4;9,873,41767333333
00:010:443,0379243333;1;A;00:010:443,0379243333;10,443,0379243333
00:011:392,4050093333;1;A;00:011:392,4050093333;11,392,4050093333
00:012:151,8986773333;1;W;00:012:151,8986773333;12,151,8986773333
00:012:151,8986773333;1;W;00:012:151,8986773333;12,151,8986773333
00:013:670,8860133333;1;D;00:013:670,8860133333;13,670,8860133333
00:014:240,5062643333;1;A;00:014:240,5062643333;14,240,5062643333
00:015:569,6201833333;1;A;00:015:569,6201833333;15,569,6201833333
00:016:708,8606853333;1;D;00:016:708,8606853333;16,708,8606853333
00:017:278,4809363333;1;W;00:017:278,4809363333;17,278,4809363333
00:018:607,5948553333;1;W;00:018:607,5948553333;18,607,5948553333
00:020:316,4556083333;1;D;00:020:316,4556083333;20,316,4556083333
00:020:696,2024423333;1;D;00:020:696,2024423333;20,696,2024423333
00:021:455,6961103333;1;A;00:021:455,6961103333;21,455,6961103333
00:021:455,6961103333;1;S;00:021:455,6961103333;21,455,6961103333
00:022:025,3163613333;1;D;00:022:025,3163613333;22,025,3163613333
00:022:025,3163613333;1;S;00:022:025,3163613333;22,025,3163613333
00:022:594,9366123333;1;W;00:022:594,9366123333;22,594,9366123333
00:022:594,9366123333;1;D;00:022:594,9366123333;22,594,9366123333
00:023:164,5568633333;1;W;00:023:164,5568633333;23,164,5568633333
00:023:544,3036973333;1;A;00:023:544,3036973333;23,544,3036973333
00:023:924,0505313333;1;D;00:023:924,0505313333;23,924,0505313333
00:024:303,7973653333;1;W;00:024:303,7973653333;24,303,7973653333
00:024:303,7973653333;1;D;00:024:303,7973653333;24,303,7973653333
00:026:962,0252033333;1;W;00:026:962,0252033333;26,962,0252033333
00:027:721,5188713333;1;A;00:027:721,5188713333;27,721,5188713333
00:028:481,0125393333;1;W;00:028:481,0125393333;28,481,0125393333
00:029:430,3796243333;1;D;00:029:430,3796243333;29,430,3796243333
00:029:810,1264583333;1;D;00:029:810,1264583333;29,810,1264583333
00:030:759,4935433333;1;W;00:030:759,4935433333;30,759,4935433333
00:031:518,9872113333;1;A;00:031:518,9872113333;31,518,9872113333
00:032:468,3542963333;1;W;00:032:468,3542963333;32,468,3542963333
00:032:848,1011303333;1;W;00:032:848,1011303333;32,848,1011303333
00:033:417,7213813333;1;A;00:033:417,7213813333;33,417,7213813333
00:033:987,3416323333;1;A;00:033:987,3416323333;33,987,3416323333
00:035:3164,555513333;1;A;00:035:3164,555513333;35,3164,555513333
00:036:455,6960533333;1;S;00:036:455,6960533333;36,455,6960533333
00:037:025,3163043333;1;W;00:037:025,3163043333;37,025,3163043333
00:038:354,4302233333;1;S;00:038:354,4302233333;38,354,4302233333
00:039:113,9238913333;1;W;00:039:113,9238913333;39,113,9238913333
00:039:493,6707253333;1;W;00:039:493,6707253333;39,493,6707253333
00:039:873,4175593333;1;A;00:039:873,4175593333;39,873,4175593333
00:039:873,4175593333;1;S;00:039:873,4175593333;39,873,4175593333
00:041:012,6580613333;1;W;00:041:012,6580613333;41,012,6580613333
00:041:582,2783123333;1;S;00:041:582,2783123333;41,582,2783123333
00:042:531,6453973333;1;W;00:042:531,6453973333;42,531,6453973333
00:042:911,3922313333;1;A;00:042:911,3922313333;42,911,3922313333
00:042:911,3922313333;1;S;00:042:911,3922313333;42,911,3922313333
00:044:050,6327333333;1;W;00:044:050,6327333333;44,050,6327333333
00:044:620,2529843333;1;S;00:044:620,2529843333;44,620,2529843333
00:045:949,3669033333;1;W;00:045:949,3669033333;45,949,3669033333
00:046:708,8605713333;1;D;00:046:708,8605713333;46,708,8605713333
00:048:037,9744903333;1;D;00:048:037,9744903333;48,037,9744903333
00:048:987,3415753333;1;A;00:048:987,3415753333;48,987,3415753333
00:049:746,8352433333;1;D;00:049:746,8352433333;49,746,8352433333
00:050:506,3289113333;1;W;00:050:506,3289113333;50,506,3289113333
00:051:265,8225793333;1;A;00:051:265,8225793333;51,265,8225793333
00:051:265,8225793333;1;S;00:051:265,8225793333;51,265,8225793333
00:051:645,5694133333;1;W;00:051:645,5694133333;51,645,5694133333
00:052:025,3162473333;1;S;00:052:025,3162473333;52,025,3162473333
00:052:025,3162473333;1;A;00:052:025,3162473333;52,025,3162473333
00:053:164,5567493333;1;W;00:053:164,5567493333;53,164,5567493333
00:053:734,1770003333;1;S;00:053:734,1770003333;53,734,1770003333
00:054:683,5440853333;1;W;00:054:683,5440853333;54,683,5440853333
00:055:063,2909193333;1;S;00:055:063,2909193333;55,063,2909193333
00:055:063,2909193333;1;A;00:055:063,2909193333;55,063,2909193333
00:056:202,5314213333;1;W;00:056:202,5314213333;56,202,5314213333
00:056:772,1516723333;1;S;00:056:772,1516723333;56,772,1516723333
00:058:101,2655913333;1;A;00:058:101,2655913333;58,101,2655913333
00:058:860,7592593333;1;D;00:058:860,7592593333;58,860,7592593333
00:059:430,3795103333;1;W;00:059:430,3795103333;59,430,3795103333
00:059:430,3795103333;1;A;00:059:430,3795103333;59,430,3795103333
00:059:999,9997613333;1;W;00:059:999,9997613333;59,999,9997613333
00:059:999,9997613333;1;D;00:059:999,9997613333;59,999,9997613333
00:060:569,6200123333;1;W;00:060:569,6200123333;60,569,6200123333
00:060:569,6200123333;1;A;00:060:569,6200123333;60,569,6200123333
00:061:139,2402633333;1;W;00:061:139,2402633333;61,139,2402633333
00:061:518,9870973333;1;W;00:061:518,9870973333;61,518,9870973333
00:061:898,7339313333;1;A;00:061:898,7339313333;61,898,7339313333
00:062:278,4807653333;1;S;00:062:278,4807653333;62,278,4807653333
00:062:278,4807653333;1;D;00:062:278,4807653333;62,278,4807653333
00:063:037,9744333333;1;D;00:063:037,9744333333;63,037,9744333333
00:064:177,2149353333;1;S;00:064:177,2149353333;64,177,2149353333
00:065:316,4554373333;1;D;00:065:316,4554373333;65,316,4554373333
00:065:886,0756883333;1;S;00:065:886,0756883333;65,886,0756883333
00:067:215,1896073333;1;D;00:067:215,1896073333;67,215,1896073333
00:068:354,4301093333;1;W;00:068:354,4301093333;68,354,4301093333
00:068:924,0503603333;1;W;00:068:924,0503603333;68,924,0503603333
00:070:253,1642793333;1;D;00:070:253,1642793333;70,253,1642793333
00:071:962,0250323333;1;W;00:071:962,0250323333;71,962,0250323333
00:072:341,7718663333;1;W;00:072:341,7718663333;72,341,7718663333
00:073:101,2655343333;1;W;00:073:101,2655343333;73,101,2655343333
00:073:101,2655343333;1;D;00:073:101,2655343333;73,101,2655343333
00:073:670,8857853333;1;W;00:073:670,8857853333;73,670,8857853333
00:073:670,8857853333;1;A;00:073:670,8857853333;73,670,8857853333
00:074:240,5060363333;1;W;00:074:240,5060363333;74,240,5060363333
00:074:240,5060363333;1;D;00:074:240,5060363333;74,240,5060363333
00:074:810,1262873333;1;S;00:074:810,1262873333;74,810,1262873333
00:075:189,8731213333;1;A;00:075:189,8731213333;75,189,8731213333
00:075:569,6199553333;1;D;00:075:569,6199553333;75,569,6199553333
00:075:949,3667893333;1;D;00:075:949,3667893333;75,949,3667893333
00:075:949,3667893333;1;S;00:075:949,3667893333;75,949,3667893333
00:078:607,594627333;1;A;00:078:607,594627333;78,607,594627333
00:079:746,835129333;1;S;00:079:746,835129333;79,746,835129333
00:080:506,3287973329;1;A;00:080:506,3287973329;80,506,3287973329
00:081:265,8224653328;1;W;00:081:265,8224653328;81,265,8224653328
00:083:164,5566353327;1;D;00:083:164,5566353327;83,164,5566353327
00:084:303,7971373326;1;W;00:084:303,7971373326;84,303,7971373326
00:085:063,2908053326;1;A;00:085:063,2908053326;85,063,2908053326
00:086:962,0249753325;1;S;00:086:962,0249753325;86,962,0249753325
00:088:860,7591453323;1;D;00:088:860,7591453323;88,860,7591453323
00:089:620,2528133323;1;A;00:089:620,2528133323;89,620,2528133323
00:090:759,4933153322;1;A;00:090:759,4933153322;90,759,4933153322
00:092:278,4806513321;1;S;00:092:278,4806513321;92,278,4806513321
00:093:797,467987332;1;A;00:093:797,467987332;93,797,467987332
00:095:316,4553233319;1;W;00:095:316,4553233319;95,316,4553233319
00:096:455,6958253318;1;D;00:096:455,6958253318;96,455,6958253318
00:097:215,1894933313;1;W;00:097:215,1894933313;97,215,1894933313
00:098:354,4299953313;1;A;00:098:354,4299953313;98,354,4299953313
00:099:113,9236633313;1;W;00:099:113,9236633313;99,113,9236633313
00:0100:253,164165331;1;D;00:0100:253,164165331;100,253,164165331
00:0101:392,404667331;1;A;00:0101:392,404667331;101,392,404667331
00:0102:531,645169331;1;W;00:0102:531,645169331;102,531,645169331
00:0102:531,645169331;1;D;00:0102:531,645169331;102,531,645169331
00:0103:291,138837331;1;W;00:0103:291,138837331;103,291,138837331
00:0103:291,138837331;1;A;00:0103:291,138837331;103,291,138837331
00:0104:810,126173331;1;D;00:0104:810,126173331;104,810,126173331
00:0105:379,746424331;1;W;00:0105:379,746424331;105,379,746424331
00:0106:329,113509331;1;A;00:0106:329,113509331;106,329,113509331
00:0107:848,100845331;1;S;00:0107:848,100845331;107,848,100845331
00:0108:417,721096331;1;D;00:0108:417,721096331;108,417,721096331
00:0108:987,341347331;1;D;00:0108:987,341347331;108,987,341347331
00:0109:367,088181331;1;W;00:0109:367,088181331;109,367,088181331
00:0109:367,088181331;1;D;00:0109:367,088181331;109,367,088181331
00:0110:886,07551733;1;A;00:0110:886,07551733;110,886,07551733
00:0111:455,695768331;1;W;00:0111:455,695768331;111,455,695768331
00:0112:405,06285333;1;D;00:0112:405,06285333;112,405,06285333
00:0113:924,05018933;1;W;00:0113:924,05018933;113,924,05018933
00:0114:493,67044033;1;A;00:0114:493,67044033;114,493,67044033
00:0115:253,16410833;1;S;00:0115:253,16410833;115,253,16410833
00:0116:012,65777633;1;D;00:0116:012,65777633;116,012,65777633
00:0116:772,15144433;1;A;00:0116:772,15144433;116,772,15144433
00:0117:341,77169533;1;A;00:0117:341,77169533;117,341,77169533
00:0118:481,01219733;1;A;00:0118:481,01219733;118,481,01219733
00:0118:481,01219733;1;S;00:0118:481,01219733;118,481,01219733
00:0118:860,75903133;1;S;00:0118:860,75903133;118,860,75903133
00:0119:999,99953333;1;D;00:0119:999,99953333;119,999,99953333
00:0120:569,61978433;1;W;00:0120:569,61978433;120,569,61978433
00:0121:898,73370333;1;A;00:0121:898,73370333;121,898,73370333
00:0123:037,97420533;1;S;00:0123:037,97420533;123,037,97420533
00:0123:607,59445633;1;D;00:0123:607,59445633;123,607,59445633
00:0124:936,70837533;1;A;00:0124:936,70837533;124,936,70837533
00:0126:645,569128329;1;A;00:0126:645,569128329;126,645,569128329
00:0127:025,315962329;1;S;00:0127:025,315962329;127,025,315962329
00:0127:784,809630329;1;A;00:0127:784,809630329;127,784,809630329
00:0127:784,809630329;1;W;00:0127:784,809630329;127,784,809630329
00:0128:354,429881329;1;D;00:0128:354,429881329;128,354,429881329
00:0128:354,429881329;1;W;00:0128:354,429881329;128,354,429881329
00:0128:924,050132329;1;A;00:0128:924,050132329;128,924,050132329
00:0128:924,050132329;1;D;00:0128:924,050132329;128,924,050132329
00:0129:493,670383329;1;A;00:0129:493,670383329;129,493,670383329
00:0129:873,417217329;1;D;00:0129:873,417217329;129,873,417217329
00:0130:253,164051329;1;A;00:0130:253,164051329;130,253,164051329
00:0130:632,910885329;1;D;00:0130:632,910885329;130,632,910885329
00:0130:632,910885329;1;A;00:0130:632,910885329;130,632,910885329
